t,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,E_total
0,-1,0,0.1,0.1,1,0,-0.1,-0.1,0,1,0,-0.1,-1.88917
0.025,-0.997311,0.00261064,0.115145,0.108859,0.997311,-0.00238932,-0.115112,-0.091136,-2.66193e-07,0.997279,-3.33255e-05,-0.117723,-1.88917
0.05,-0.994242,0.00544335,0.130415,0.117767,0.994244,-0.00455634,-0.130281,-0.0822149,-2.20603e-06,0.994113,-0.000134135,-0.135552,-1.88917
0.075,-0.990789,0.00849943,0.145828,0.12673,0.990797,-0.00649954,-0.145524,-0.0732278,-7.52494e-06,0.9905,-0.000303961,-0.153503,-1.88917
0.1,-0.986949,0.0117804,0.161401,0.135759,0.986967,-0.00821714,-0.160856,-0.064166,-1.79715e-05,0.986437,-0.000544727,-0.171593,-1.88917
0.125,-0.982718,0.015288,0.177154,0.144863,0.982753,-0.00970716,-0.176295,-0.0550199,-3.53474e-05,0.981919,-0.000858769,-0.189843,-1.88917
0.15,-0.97809,0.0190242,0.193106,0.154051,0.978151,-0.0109674,-0.191857,-0.04578,-6.15183e-05,0.976943,-0.00124888,-0.208271,-1.88917
0.175,-0.97306,0.0229913,0.20928,0.163332,0.973159,-0.0119953,-0.207562,-0.0364359,-9.84258e-05,0.971504,-0.00171833,-0.226897,-1.88917
0.2,-0.967624,0.0271917,0.225697,0.172719,0.967772,-0.0127883,-0.223426,-0.026977,-0.0001481,0.965597,-0.00227097,-0.245742,-1.88917
0.225,-0.961773,0.0316282,0.242383,0.182222,0.961986,-0.0133432,-0.239472,-0.0173918,-0.000212675,0.959215,-0.00291124,-0.264831,-1.88917
0.25,-0.955502,0.0363038,0.259363,0.191854,0.955797,-0.0136567,-0.255719,-0.0076684,-0.000294404,0.952353,-0.00364427,-0.284185,-1.88917
0.275,-0.948803,0.041222,0.276667,0.201626,0.949198,-0.0137254,-0.272191,0.0022061,-0.000395678,0.945003,-0.00447596,-0.303832,-1.88917
0.3,-0.941666,0.0463864,0.294324,0.211553,0.942185,-0.0135451,-0.288911,0.0122453,-0.000519046,0.937159,-0.00541312,-0.323798,-1.88917
0.325,-0.934083,0.051801,0.312369,0.22165,0.934751,-0.0131117,-0.305905,0.022464,-0.000667239,0.928811,-0.00646355,-0.344114,-1.88917
0.35,-0.926044,0.0574703,0.330838,0.231932,0.926888,-0.0124204,-0.323202,0.0328778,-0.000843201,0.91995,-0.00763624,-0.364809,-1.88917
0.375,-0.917538,0.0633992,0.349773,0.242416,0.918588,-0.0114661,-0.340831,0.0435039,-0.00105011,0.910567,-0.00894155,-0.38592,-1.88917
0.4,-0.908552,0.0695929,0.369217,0.253122,0.909843,-0.0102433,-0.358826,0.0543606,-0.00129143,0.90065,-0.0103914,-0.407483,-1.88917
0.425,-0.899072,0.0760572,0.389222,0.26407,0.900643,-0.00874606,-0.377222,0.065468,-0.00157095,0.890189,-0.0119997,-0.429538,-1.88917
0.45,-0.889086,0.0827985,0.409841,0.275282,0.890978,-0.00696775,-0.396059,0.0768479,-0.00189281,0.879169,-0.0137824,-0.452129,-1.88917
0.475,-0.878575,0.0898236,0.431139,0.286782,0.880837,-0.00490129,-0.415381,0.0885244,-0.00226162,0.867578,-0.0157584,-0.475307,-1.88917
0.5,-0.867523,0.0971401,0.453185,0.298599,0.870205,-0.00253895,-0.435236,0.100524,-0.00268245,0.855399,-0.0179495,-0.499123,-1.88917
0.525,-0.855909,0.104756,0.47606,0.310762,0.85907,0.000127705,-0.455678,0.112875,-0.00316101,0.842616,-0.0203815,-0.523637,-1.88917
0.55,-0.843712,0.112681,0.499854,0.323305,0.847416,0.00310785,-0.476769,0.125609,-0.0037037,0.829211,-0.0230851,-0.548914,-1.88917
0.575,-0.830908,0.120925,0.524672,0.336265,0.835226,0.00641153,-0.498576,0.138764,-0.00431773,0.815164,-0.0260967,-0.575029,-1.88916
0.6,-0.81747,0.129498,0.550636,0.349685,0.822481,0.0100497,-0.521176,0.152377,-0.00501134,0.800452,-0.0294599,-0.602062,-1.88916
0.625,-0.803366,0.138413,0.577887,0.363611,0.80916,0.0140344,-0.544659,0.166493,-0.00579396,0.785052,-0.0332276,-0.630105,-1.88916
0.65,-0.788564,0.147683,0.606589,0.378098,0.79524,0.0183788,-0.569125,0.181163,-0.00667647,0.768938,-0.0374643,-0.659261,-1.88916
0.675,-0.773023,0.157323,0.63694,0.393206,0.780695,0.0230974,-0.594691,0.196443,-0.00767155,0.752079,-0.0422491,-0.689649,-1.88916
0.7,-0.756702,0.167349,0.669174,0.409005,0.765496,0.0282063,-0.621493,0.212395,-0.00879409,0.734445,-0.0476808,-0.721399,-1.88915
0.725,-0.739547,0.177779,0.703574,0.425573,0.749609,0.0337231,-0.64969,0.229091,-0.0100617,0.715997,-0.0538834,-0.754664,-1.88915
0.75,-0.721503,0.188635,0.740485,0.443001,0.732998,0.0396675,-0.67947,0.246615,-0.0114957,0.696698,-0.0610151,-0.789616,-1.88915
0.775,-0.7025,0.199937,0.780336,0.461393,0.715621,0.0460612,-0.711056,0.265059,-0.0131216,0.676502,-0.0692804,-0.826451,-1.88914
0.8,-0.682458,0.211713,0.823664,0.480866,0.697429,0.0529286,-0.744716,0.28453,-0.0149709,0.655358,-0.078948,-0.865396,-1.88914
